                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.1426,                0.79066,                 1.4698,                 0.9537,                0.90451,                0.95314,                0.66704,                 1.0486,                0.68508,                 1.3191,               0.004951,               0.004951,               0.004951
                     53,                 1.0949,                0.77596,                 1.3763,                0.93374,                0.89365,                0.93067,                0.65073,                 1.0528,                0.70402,                 1.3093,               0.004852,               0.004852,               0.004852
                     54,                 1.0611,                0.75265,                 1.3933,                0.96845,                0.92575,                0.96459,                0.70964,                0.99692,                0.60051,                 1.2672,               0.004753,               0.004753,               0.004753
                     55,                 1.0651,                0.75126,                 1.3733,                 0.9677,                0.92351,                  0.966,                0.70381,                 1.0025,                0.61452,                 1.2545,               0.004654,               0.004654,               0.004654
                     56,                 1.0723,                0.73628,                 1.3789,                0.97438,                0.92927,                0.96888,                0.68409,                 1.0208,                0.63627,                 1.2747,               0.004555,               0.004555,               0.004555
                     57,                 1.0588,                0.75359,                  1.365,                0.95558,                0.93696,                0.96597,                0.69061,                  1.037,                0.64405,                 1.2771,               0.004456,               0.004456,               0.004456
                     58,                 1.0672,                0.75105,                 1.3712,                 0.9358,                0.81464,                0.87162,                0.62794,                   1.06,                0.80299,                 1.3193,               0.004357,               0.004357,               0.004357
                     59,                 1.0782,                0.75802,                 1.3845,                0.97227,                0.93489,                0.96632,                 0.7034,                 0.9742,                0.59114,                 1.2335,               0.004258,               0.004258,               0.004258
                     60,                 1.0426,                0.71777,                 1.3348,                0.96497,                 0.9314,                0.96519,                0.71976,                0.95354,                0.57469,                 1.2194,               0.004159,               0.004159,               0.004159
                     61,                 1.0345,                0.69666,                 1.3424,                0.94986,                0.93331,                0.96712,                0.70618,                0.94713,                0.61039,                 1.2213,                0.00406,                0.00406,                0.00406
                     62,                 1.0273,                0.68567,                 1.3257,                0.97411,                0.92247,                0.97041,                0.72244,                0.95745,                0.59003,                 1.2277,               0.003961,               0.003961,               0.003961
                     63,                 1.0508,                0.72741,                 1.3298,                0.96511,                0.89477,                 0.9588,                0.70209,                0.96357,                0.63464,                  1.228,               0.003862,               0.003862,               0.003862
                     64,                 1.0332,                0.71021,                 1.3074,                0.95351,                0.91218,                0.96297,                0.71566,                0.93119,                0.63531,                 1.1957,               0.003763,               0.003763,               0.003763
                     65,                  1.012,                0.69132,                 1.3349,                0.97635,                0.93782,                0.96693,                0.72254,                0.90942,                0.56388,                 1.1777,               0.003664,               0.003664,               0.003664
                     66,                 1.0157,                0.70172,                 1.3234,                0.98625,                0.93267,                 0.9688,                0.72258,                0.91023,                0.55906,                 1.1765,               0.003565,               0.003565,               0.003565
                     67,                 1.0218,                0.70462,                 1.3233,                0.97452,                0.93273,                0.96674,                0.73164,                0.88767,                0.57044,                 1.1723,               0.003466,               0.003466,               0.003466
                     68,                0.97539,                0.66443,                 1.2859,                0.94986,                0.91781,                0.96563,                0.72011,                0.93501,                0.59152,                 1.1862,               0.003367,               0.003367,               0.003367
                     69,                 1.0046,                0.68598,                 1.3005,                0.98048,                0.93857,                0.97366,                0.73162,                0.88753,                0.55993,                 1.1636,               0.003268,               0.003268,               0.003268
                     70,                 0.9639,                 0.6644,                 1.2715,                0.96391,                0.93709,                0.97204,                0.72943,                0.93354,                0.56357,                 1.1833,               0.003169,               0.003169,               0.003169
                     71,                0.97257,                0.66685,                 1.2901,                0.97969,                0.95189,                0.97635,                0.73694,                 0.8701,                0.53233,                 1.1384,                0.00307,                0.00307,                0.00307
                     72,                0.94589,                0.66067,                 1.2974,                0.97948,                0.94591,                0.97668,                0.75075,                0.87528,                0.52839,                 1.1499,               0.002971,               0.002971,               0.002971
                     73,                 1.0009,                0.65539,                 1.2754,                0.98451,                0.93323,                0.96735,                0.73131,                  0.909,                0.55837,                 1.1711,               0.002872,               0.002872,               0.002872
                     74,                0.95781,                0.64725,                 1.2863,                0.98814,                0.95243,                0.97746,                0.74801,                0.84946,                0.52538,                 1.1351,               0.002773,               0.002773,               0.002773
                     75,                0.94748,                0.64724,                 1.2537,                0.97267,                0.94316,                0.97692,                0.75819,                0.88264,                0.52769,                 1.1479,               0.002674,               0.002674,               0.002674
                     76,                0.93944,                0.61436,                 1.2344,                0.98904,                0.95269,                0.97807,                0.75729,                0.84172,                0.52104,                  1.122,               0.002575,               0.002575,               0.002575
                     77,                0.94161,                0.65165,                 1.2574,                0.97533,                0.95015,                0.97828,                0.75777,                0.87795,                0.51844,                 1.1437,               0.002476,               0.002476,               0.002476
                     78,                0.92314,                0.62324,                 1.2331,                0.96906,                0.96189,                0.97851,                0.76442,                0.82799,                0.49948,                 1.1018,               0.002377,               0.002377,               0.002377
                     79,                0.91682,                0.60697,                 1.2455,                0.98571,                0.95269,                0.97798,                0.77502,                  0.815,                0.49993,                  1.111,               0.002278,               0.002278,               0.002278
                     80,                0.93068,                0.62229,                 1.2789,                 0.9761,                0.96189,                0.97687,                0.76652,                0.81891,                0.49019,                 1.0991,               0.002179,               0.002179,               0.002179
                     81,                0.91715,                0.62304,                 1.2339,                0.98945,                0.94483,                 0.9774,                0.77575,                0.79956,                0.49244,                 1.0928,                0.00208,                0.00208,                0.00208
                     82,                 0.9014,                0.61311,                 1.2141,                0.99048,                0.96215,                0.97973,                0.77441,                0.78995,                0.49971,                 1.0876,               0.001981,               0.001981,               0.001981
                     83,                0.89956,                0.60701,                 1.2261,                0.98641,                 0.9575,                0.97929,                0.78098,                0.77894,                0.49143,                  1.078,               0.001882,               0.001882,               0.001882
                     84,                0.89807,                0.60887,                 1.2302,                0.99071,                0.95863,                0.97864,                0.78139,                0.76196,                0.47519,                 1.0663,               0.001783,               0.001783,               0.001783
                     85,                0.89006,                 0.5895,                 1.2135,                0.97712,                 0.9554,                0.97743,                0.77265,                0.79773,                0.48895,                 1.0853,               0.001684,               0.001684,               0.001684
                     86,                0.87328,                0.59168,                 1.1841,                0.98929,                0.95796,                0.97914,                0.78955,                0.76147,                 0.4783,                 1.0641,               0.001585,               0.001585,               0.001585
                     87,                0.87381,                0.57942,                 1.2102,                0.98476,                 0.9536,                0.97875,                0.77335,                0.81464,                0.48942,                 1.0874,               0.001486,               0.001486,               0.001486
                     88,                0.85745,                0.57311,                 1.2022,                0.99501,                0.95896,                0.98321,                0.79012,                0.78156,                0.46762,                 1.0683,               0.001387,               0.001387,               0.001387
                     89,                0.85321,                0.58758,                  1.213,                0.99156,                0.95923,                0.98273,                0.78654,                0.78755,                0.46581,                 1.0689,               0.001288,               0.001288,               0.001288
                     90,                0.84014,                0.57351,                 1.2027,                0.98595,                0.96071,                0.98344,                0.79571,                 0.7647,                0.46621,                 1.0545,               0.001189,               0.001189,               0.001189
                     91,                0.85269,                0.57262,                  1.185,                0.98836,                0.96311,                0.98299,                0.79471,                0.75354,                0.46354,                  1.051,                0.00109,                0.00109,                0.00109
                     92,                0.84831,                 0.5727,                 1.2036,                0.98553,                0.96554,                0.98256,                0.80177,                0.72497,                0.45973,                 1.0421,               0.000991,               0.000991,               0.000991
                     93,                0.85354,                0.58754,                  1.192,                 0.9923,                0.95804,                0.98098,                0.80211,                0.74221,                0.45541,                 1.0467,               0.000892,               0.000892,               0.000892
                     94,                0.83909,                0.56055,                  1.205,                0.99453,                0.96765,                0.98483,                0.81072,                0.71316,                0.44845,                 1.0314,               0.000793,               0.000793,               0.000793
                     95,                0.80976,                0.54459,                 1.1558,                0.98355,                0.96976,                0.98415,                0.81041,                0.70692,                 0.4455,                 1.0297,               0.000694,               0.000694,               0.000694
                     96,                0.80509,                0.54318,                 1.1693,                0.98111,                0.96863,                0.98305,                0.81191,                0.70868,                0.44087,                 1.0334,               0.000595,               0.000595,               0.000595
                     97,                0.81059,                0.53596,                 1.1615,                0.98053,                0.97118,                0.98352,                0.80784,                 0.7135,                0.43854,                 1.0293,               0.000496,               0.000496,               0.000496
                     98,                0.81655,                0.55016,                 1.1866,                0.99657,                0.95591,                0.98465,                0.81292,                0.70094,                  0.431,                 1.0214,               0.000397,               0.000397,               0.000397
                     99,                0.82599,                0.55216,                 1.1714,                0.99467,                0.95875,                0.98458,                0.81478,                0.69651,                0.43088,                 1.0198,               0.000298,               0.000298,               0.000298
